"","X","pl.p","IBRA","IBRAsub","data.source","collecting.agency","planting","plot","measure.date","lat","long","year.planted","age","establishment","plot.type","planting.width","plot.area","geometry","width","aridity.index","carbon","clay","elevation.relief","elevation","nitrogen","phosphorus","ph","prec.annual","prec.season","prescott","sand","silt","slope","soil.depth","solar.annual","tmax.annual","tmin.annual","TWI","tot.ag.mass","biomass.area","plant.count","density","rare.rich","rare.rich.se","alpha","planting.old"
"273",273,"93.A","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","93","A",2009,-26.5071,151.8336,2000,9,"TS","Planting",NA,0.12,"Block",5,0.552159488201141,2.77149701118469,34.5672200520833,29.8580017089844,511,0.169485884408156,0.0545497486988703,5.63439559936523,831,40,0.704848945140839,42.809398651123,17.2806212107341,2.36122608184814,1.09703242778778,19.221378199749,24.6666666666667,11.0333333333333,7.85869264602661,3300.922342,27507.6861833333,35,291.666666666667,1,0,1,"BUSEP1"
"274",274,"93.B","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","93","B",2009,-26.5071,151.8336,2000,9,"TS","Planting",NA,0.12,"Block",5,0.552159488201141,2.77149701118469,34.5672200520833,29.8580017089844,511,0.169485884408156,0.0545497486988703,5.63439559936523,831,40,0.704848945140839,42.809398651123,17.2806212107341,2.36122608184814,1.09703242778778,19.221378199749,24.6666666666667,11.0333333333333,7.85869264602661,3359.123404,27992.6950333333,30,250,1,0,1,"BUSEP1"
"275",275,"93.C","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","93","C",2009,-26.5071,151.8336,2000,9,"TS","Planting",NA,0.12,"Block",5,0.552159488201141,2.77149701118469,34.5672200520833,29.8580017089844,511,0.169485884408156,0.0545497486988703,5.63439559936523,831,40,0.704848945140839,42.809398651123,17.2806212107341,2.36122608184814,1.09703242778778,19.221378199749,24.6666666666667,11.0333333333333,7.85869264602661,3761.285978,31344.0498166667,32,266.666666666667,1,0,1,"BUSEP1"
"276",276,"94.A","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","94","A",2009,-26.4184,151.8883,2004,5,"TS","Planting",NA,0.01,"Block",5,0.530253767967224,2.42333030700684,26.4537970225016,19.4314575195312,380,0.123944260179996,0.0434344472984473,5.36279233296712,815,41,0.677004456520081,54.7127723693848,14.9306780497233,1.79056191444397,1.12607061862946,18.9805375412014,25.35,11.575,9.39528274536133,521.375278,52137.5278,70,7000,1.42857142857143,0.494871659305394,2,"BUSPR1"
"277",277,"94.B","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","94","B",2009,-26.4184,151.8883,2004,5,"TS","Planting",NA,0.01,"Block",5,0.530253767967224,2.42333030700684,26.4537970225016,19.4314575195312,380,0.123944260179996,0.0434344472984473,5.36279233296712,815,41,0.677004456520081,54.7127723693848,14.9306780497233,1.79056191444397,1.12607061862946,18.9805375412014,25.35,11.575,9.39528274536133,359.135047,35913.5047,43,4300,1.69767441860465,0.459265526933291,2,"BUSPR1"
"278",278,"94.C","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","94","C",2009,-26.4184,151.8883,2004,5,"TS","Planting",NA,0.01,"Block",5,0.530253767967224,2.42333030700684,26.4537970225016,19.4314575195312,380,0.123944260179996,0.0434344472984473,5.36279233296712,815,41,0.677004456520081,54.7127723693848,14.9306780497233,1.79056191444397,1.12607061862946,18.9805375412014,25.35,11.575,9.39528274536133,402.878211,40287.8211,95,9500,1,0,1,"BUSPR1"
"279",279,"94.D","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","94","D",2009,-26.4184,151.8883,2004,5,"TS","Planting",NA,0.01,"Block",5,0.530253767967224,2.42333030700684,26.4537970225016,19.4314575195312,380,0.123944260179996,0.0434344472984473,5.36279233296712,815,41,0.677004456520081,54.7127723693848,14.9306780497233,1.79056191444397,1.12607061862946,18.9805375412014,25.35,11.575,9.39528274536133,233.818486,23381.8486,37,3700,2.8102808691044,0.392201651329197,3,"BUSPR1"
"280",280,"94.E","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","94","E",2009,-26.4184,151.8883,2004,5,"TS","Planting",NA,0.01,"Block",5,0.530253767967224,2.42333030700684,26.4537970225016,19.4314575195312,380,0.123944260179996,0.0434344472984473,5.36279233296712,815,41,0.677004456520081,54.7127723693848,14.9306780497233,1.79056191444397,1.12607061862946,18.9805375412014,25.35,11.575,9.39528274536133,286.097757,28609.7757,20,2000,3,0,3,"BUSPR1"
"281",281,"95.A","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","95","A",2009,-26.3975,151.8549,2002,7,"TS","Planting",NA,0.09,"Block",5,0.552456855773926,2.70434331893921,29.0812994639079,42.4647521972656,495,0.170675215621789,0.050539668649435,5.39202785491943,832,41,0.710680723190308,47.5640970865885,17.3146807352702,5.41113948822021,1.02198028564453,19.0227919642355,24.6916666666667,11.1333333333333,7.12995147705078,3142.060959,34911.7884333333,39,433.333333333333,1.95141700404858,0.214994624248611,2,"BUSTP1"
"282",282,"95.B","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","95","B",2009,-26.3975,151.8549,2002,7,"TS","Planting",NA,0.09,"Block",5,0.552456855773926,2.70434331893921,29.0812994639079,42.4647521972656,495,0.170675215621789,0.050539668649435,5.39202785491943,832,41,0.710680723190308,47.5640970865885,17.3146807352702,5.41113948822021,1.02198028564453,19.0227919642355,24.6916666666667,11.1333333333333,7.12995147705078,3393.199173,37702.2130333333,40,444.444444444444,1.98785425101215,0.109536431242661,2,"BUSTP1"
"283",283,"95.C","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","95","C",2009,-26.3975,151.8549,2002,7,"TS","Planting",NA,0.09,"Block",5,0.552456855773926,2.70434331893921,29.0812994639079,42.4647521972656,495,0.170675215621789,0.050539668649435,5.39202785491943,832,41,0.710680723190308,47.5640970865885,17.3146807352702,5.41113948822021,1.02198028564453,19.0227919642355,24.6916666666667,11.1333333333333,7.12995147705078,3433.16999,38146.3332222222,33,366.666666666667,1,0,1,"BUSTP1"
"284",284,"95.D","SEQ","SEQ06","Greening Australia","GA-Qld Burnet","95","D",2009,-26.3975,151.8549,2002,7,"TS","Planting",NA,0.09,"Block",5,0.552456855773926,2.70434331893921,29.0812994639079,42.4647521972656,495,0.170675215621789,0.050539668649435,5.39202785491943,832,41,0.710680723190308,47.5640970865885,17.3146807352702,5.41113948822021,1.02198028564453,19.0227919642355,24.6916666666667,11.1333333333333,7.12995147705078,3519.553457,39106.1495222222,38,422.222222222222,1.78947368421053,0.407682457495517,2,"BUSTP1"
"285",285,"96.A","SEQ","SEQ05","Greening Australia","GA-Qld Burnet","96","A",2009,-26.0829,152.1472,2002,7,"TS","Planting",NA,0.0225,"Block",5,0.560538113117218,2.44524765014648,25.7711086273193,23.8408355712891,182,0.134346907337507,0.0370110863198837,5.61686229705811,875,45,0.726671814918518,54.8131739298503,16.5505243937174,0.994036912918091,1.22439169883728,18.7647179143995,26.45,13.2,11.0180139541626,732.232236,32543.6549333333,20,888.888888888889,1,0,1,"BUTRP1"
"286",286,"96.B","SEQ","SEQ05","Greening Australia","GA-Qld Burnet","96","B",2009,-26.0829,152.1472,2002,7,"TS","Planting",NA,0.0225,"Block",5,0.560538113117218,2.44524765014648,25.7711086273193,23.8408355712891,182,0.134346907337507,0.0370110863198837,5.61686229705811,875,45,0.726671814918518,54.8131739298503,16.5505243937174,0.994036912918091,1.22439169883728,18.7647179143995,26.45,13.2,11.0180139541626,841.272301,37389.8800444444,25,1111.11111111111,1,0,1,"BUTRP1"
"287",287,"96.C","SEQ","SEQ05","Greening Australia","GA-Qld Burnet","96","C",2009,-26.0829,152.1472,2002,7,"TS","Planting",NA,0.0225,"Block",5,0.560538113117218,2.44524765014648,25.7711086273193,23.8408355712891,182,0.134346907337507,0.0370110863198837,5.61686229705811,875,45,0.726671814918518,54.8131739298503,16.5505243937174,0.994036912918091,1.22439169883728,18.7647179143995,26.45,13.2,11.0180139541626,750.419293,33351.9685777778,21,933.333333333333,1,0,1,"BUTRP1"
"288",288,"97.A","SEQ","SEQ06","Greening Australia","GA-Qld Bunya","97","A",2009,-27.3015,152.0556,2001,8,"TS","Planting",NA,0.1505,"Block",5,0.675733685493469,3.94099855422974,22.7366822560628,45.0753784179688,676,0.155134429534276,0.049874068548282,4.97925154368083,944,39,0.875999271869659,49.7875785827637,18.2321612040202,6.55555629730225,0.856781125068665,19.1757389883906,22.85,10.3166666666667,7.91682767868042,4984.534039,33119.8275016611,41,272.425249169435,1.98452157598499,0.123445706304517,2,"BWRP1"
"289",289,"97.B","SEQ","SEQ06","Greening Australia","GA-Qld Bunya","97","B",2009,-27.3015,152.0556,2001,8,"TS","Planting",NA,0.0735,"Block",5,0.675733685493469,3.94099855422974,22.7366822560628,45.0753784179688,676,0.155134429534276,0.049874068548282,4.97925154368083,944,39,0.875999271869659,49.7875785827637,18.2321612040202,6.55555629730225,0.856781125068665,19.1757389883906,22.85,10.3166666666667,7.91682767868042,4197.262257,57105.6089387755,30,408.163265306122,1,0,1,"BWRP1"
"290",290,"97.C","SEQ","SEQ06","Greening Australia","GA-Qld Bunya","97","C",2009,-27.3015,152.0556,2001,8,"TS","Planting",NA,0.1156,"Block",5,0.675733685493469,3.94099855422974,22.7366822560628,45.0753784179688,676,0.155134429534276,0.049874068548282,4.97925154368083,944,39,0.875999271869659,49.7875785827637,18.2321612040202,6.55555629730225,0.856781125068665,19.1757389883906,22.85,10.3166666666667,7.91682767868042,5796.489434,50142.6421626298,37,320.069204152249,1,0,1,"BWRP1"
"291",291,"98.6","WET","WET04","QDAFF","QDAFF","98","6",2012,-17.34813889,145.5760556,1992,20,"TS","Planting",NA,0.072,"Block",5,1.42033898830414,5.53070068359375,46.3349952697754,34.28564453125,751,0.281150450309118,0.112244367599487,4.95315869649251,2095,76,1.51529359817505,27.705078125,16.9760182698568,5.32815837860107,1.26121985912323,19.4687014301143,25.8,15.525,7.88840246200562,8644.652272,120064.614888889,60,833.333333333333,8.49094091743005,1.1179636142304,11,"C.2012"
"292",292,"98.7","WET","WET04","QDAFF","QDAFF","98","7",2012,-17.34813889,145.5760556,1992,20,"TS","Planting",NA,0.072,"Block",5,1.42033898830414,5.53070068359375,46.3349952697754,34.28564453125,751,0.281150450309118,0.112244367599487,4.95315869649251,2095,76,1.51529359817505,27.705078125,16.9760182698568,5.32815837860107,1.26121985912323,19.4687014301143,25.8,15.525,7.88840246200562,1755.104076,24376.4455,60,833.333333333333,8.5308977373933,0.900293088080038,10,"C.2012"
"293",293,"99.1","MDD","MDD02","CSIRO","SA DENR","99","1",2009,-35.173,139.8386,1994,15,"TS","Planting",NA,0.2082,"Linear (4? rows, 40 m)",4,0.265140324831009,1.04599630832672,18.4726556142171,5.2659797668457,63,0.0703681123753389,0.0204156581312418,7.11305888493856,359,30,0.426510185003281,69.2814915974935,5.93222220738729,0.319269806146622,0.9425328373909,17.6671912054987,22.3916666666667,9.11666666666667,10.1594505310059,6128.86531,29437.3934197887,60,288.184438040346,7.73654889005681,1.09115155108785,10,"CA0832"
"294",294,"100.1","MDD","MDD05","This project (Keryn Paul)",NA,"100","1",2011,-36.2668,143.1047,2004,7,NA,"Planting",NA,0.02,"4 rows",NA,0.310975611209869,1.51312470436096,35.1527589162191,6.15460205078125,129,0.0877029051383336,0.0174319371581078,7.30953518549601,408,23,0.425833702087402,56.0431976318359,7.8432871500651,0.519990682601929,1.09474515914917,17.5419524079624,21.525,8.71666666666667,11.6302223205566,2524.74,126237,94,4700,1.99991365977907,0.00929154272956726,2,"Campbell"
"295",295,"100.2","MDD","MDD05","This project (Keryn Paul)",NA,"100","2",2011,-36.2668,143.1047,2004,7,NA,"Planting",NA,0.02,"4 rows",NA,0.310975611209869,1.51312470436096,35.1527589162191,6.15460205078125,129,0.0877029051383336,0.0174319371581078,7.30953518549601,408,23,0.425833702087402,56.0431976318359,7.8432871500651,0.519990682601929,1.09474515914917,17.5419524079624,21.525,8.71666666666667,11.6302223205566,2012.92,100646,91,4550,1.99999999999716,1.68649046590662e-06,2,"Campbell"
"296",296,"100.3","MDD","MDD05","This project (Keryn Paul)",NA,"100","3",2011,-36.2668,143.1047,2004,7,NA,"Planting",NA,0.02,"4 rows",NA,0.310975611209869,1.51312470436096,35.1527589162191,6.15460205078125,129,0.0877029051383336,0.0174319371581078,7.30953518549601,408,23,0.425833702087402,56.0431976318359,7.8432871500651,0.519990682601929,1.09474515914917,17.5419524079624,21.525,8.71666666666667,11.6302223205566,1571.37,78568.5,95,4750,1.9999999999427,7.56982213457913e-06,2,"Campbell"
"297",297,"101.1","RIV","RIV04","This project (Keryn Paul)",NA,"101","1",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,311.15,10371.6666666667,41,1366.66666666667,1,0,1,"Carmody"
"298",298,"101.2","RIV","RIV04","This project (Keryn Paul)",NA,"101","2",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,251.58,8386,43,1433.33333333333,1,0,1,"Carmody"
"299",299,"101.3","RIV","RIV04","This project (Keryn Paul)",NA,"101","3",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,367.42,12247.3333333333,41,1366.66666666667,1,0,1,"Carmody"
"300",300,"101.4","RIV","RIV04","This project (Keryn Paul)",NA,"101","4",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,364.38,12146,43,1433.33333333333,1,0,1,"Carmody"
"301",301,"101.5","RIV","RIV04","This project (Keryn Paul)",NA,"101","5",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,313.92,10464,43,1433.33333333333,1,0,1,"Carmody"
"302",302,"101.5a","RIV","RIV04","This project (Keryn Paul)",NA,"101","5a",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,363.36,12112,43,1433.33333333333,1,0,1,"Carmody"
"303",303,"101.6","RIV","RIV04","This project (Keryn Paul)",NA,"101","6",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,436.4,14546.6666666667,46,1533.33333333333,1,0,1,"Carmody"
"304",304,"101.7","RIV","RIV04","This project (Keryn Paul)",NA,"101","7",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,196.61,6553.66666666667,41,1366.66666666667,1,0,1,"Carmody"
"305",305,"101.8","RIV","RIV04","This project (Keryn Paul)",NA,"101","8",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,228.01,7600.33333333333,38,1266.66666666667,1,0,1,"Carmody"
"306",306,"101.9","RIV","RIV04","This project (Keryn Paul)",NA,"101","9",2011,-36.1602,143.4044,2004,7,NA,"Planting",NA,0.03,"15 rows",NA,0.308390021324158,1.59780979156494,36.2320003509521,0.898941040039062,117,0.0932653993368149,0.0241247024387121,6.64613978068034,408,21,0.405959039926529,49.3041826883952,9.24958960215251,0.101385504007339,1.14930701255798,17.9650472657301,21.775,8.93333333333333,14.0065822601318,471.22,15707.3333333333,45,1500,1,0,1,"Carmody"
"307",307,"102.1","KAN","KAN02","SA DENR",NA,"102","1",2009,-35.126,139.2319,1980,29,NA,"Planting",NA,0.035,">8 rows",NA,0.280837863683701,1.4430478811264,12.7589371999105,34.3241882324219,65,0.0787952927251657,0.0249266090492407,6.53599039713542,362,28,0.379459410905838,76.79931640625,5.42991511027018,2.94082474708557,0.846777677536011,17.2473906294728,21.8416666666667,9.54166666666667,10.0100412368774,3243.01,92657.4285714286,36,1028.57142857143,1,0,1,"CB0001"
"308",308,"103.1","MDD","MDD02","CSIRO","SA DENR","103","1",2009,-35.1244,139.2391,1980,29,"TS","Planting",NA,0.257,"Linear (? rows, 25 m)",3,0.269645601511002,1.10196244716644,10.1289145151774,18.8184356689453,44,0.0828165598213673,0.0282514672726393,6.94680341084798,350,27,0.374976426362991,81.0733235677083,4.65969117482503,0.513799726963043,0.913555443286896,17.3806296998115,22.0416666666667,9.725,12.0049095153809,11612.100708,45183.2712373541,60,233.463035019455,11.4257260042568,0.978670368552809,13,"CB0037"
"309",309,"104.1","KAN","KAN02","CSIRO","SA DENR","104","1",2009,-34.7121,139.0848,1994,15,"TS","Planting",NA,0.118,"Linear (2 rows, 5 m)",1,0.500803887844086,2.23764586448669,15.9112586975098,27.3039245605469,395,0.111176922917366,0.0204510918507973,5.03317674001058,623,47,0.701493203639984,72.9142252604167,8.81152661641439,2.39742541313171,0.790719926357269,17.8550464299632,20.1083333333333,7.825,10.7554807662964,2307.282233,19553.2392627119,60,508.474576271186,2.49999999991294,0.50000000003294,3,"CB0095"
"310",310,"105.1","KAN","KAN02","CSIRO","SA DENR","105","1",2009,-34.7102,139.1078,1992,17,"DS","Planting",NA,0.1448,"Block",5,0.49438202381134,2.29783487319946,17.6564655303955,36.5229187011719,411,0.10473562652866,0.0176352274914583,5.12866751352946,616,46,0.649029493331909,72.5876541137695,9.04109986623128,2.93103265762329,0.794539570808411,18.1496409143222,20.0833333333333,7.76666666666667,7.79397583007812,2967.202094,20491.7271685083,60,414.364640883978,7.09751644899341,0.739073858779756,8,"CB0227"
"311",311,"106.1","KAN","KAN02","CSIRO","SA DENR","106","1",2009,-34.7328,139.0765,1994,15,"TS","Planting",NA,0.0909,"Linear (5 rows, 14 m)",2,0.555645823478699,3.52450489997864,19.0893020629883,29.2870483398438,492,0.0950414563218753,0.015793609743317,4.79558499654134,684,48,0.771498024463654,70.1844024658203,8.99136734008789,4.78235864639282,0.753550171852112,18.6152245661706,19.7333333333333,7.46666666666667,6.84648847579956,6886.931898,75763.8272607261,60,660.06600660066,6.13422650933069,0.720979665255114,7,"CB0287"
"312",312,"107.1","KAN","KAN02","CSIRO","SA DENR","107","1",2009,-34.7327,139.0763,1994,15,"TS","Planting",NA,0.0482,"Linear (5 rows, 14 m)",2,0.555645823478699,3.52450489997864,19.0893020629883,29.2870483398438,492,0.0950414563218753,0.015793609743317,4.79558499654134,684,48,0.774230539798737,70.1844024658203,8.99136734008789,4.78235864639282,0.753550171852112,18.6152245661706,19.7333333333333,7.46666666666667,6.84648847579956,1897.162813,39360.2243360996,60,1244.8132780083,5.57898650849318,0.57480380249429,6,"CB0347"
"313",313,"108.1","KAN","KAN02","CSIRO","SA DENR","108","1",2009,-34.6064,139.0946,1992,17,"DS","Planting",NA,0.0243,"Linear (3 rows, 10 m)",1,0.516518950462341,2.26071858406067,17.0449628829956,31.6435546875,462,0.110057619710763,0.0182204861193895,5.10219478607178,641,46,0.669982969760895,72.3170852661133,9.4868548711141,1.61981797218323,0.793664395809174,18.1172206258959,19.9166666666667,7.61666666666667,7.36324882507324,1708.79768,70320.89218107,36,1481.48148148148,4.97313470842883,0.16179124017646,5,"CB0408"
"314",314,"109.1","KAN","KAN02","CSIRO","SA DENR","109","1",2009,-34.7386,139.1102,1994,15,"TS","Planting",NA,0.095,"Linear (3 rows, 11 m)",2,0.511703014373779,2.18542885780334,17.5309562683105,31.5076293945312,436,0.0979309119284153,0.0178556398799022,5.02728986740112,634,47,0.69192773103714,69.0042788187663,8.97233422597249,3.3107533454895,0.762029528617859,17.8515222454293,19.9083333333333,7.60833333333333,7.6949462890625,2333.860866,24566.9564842105,36,378.947368421053,5.66080977845684,0.523317427486921,6,"CB0444"
"315",315,"110.1","MDD","MDD02","CSIRO","SA DENR","110","1",2009,-35.3155,139.7534,1993,16,"DS","Planting",NA,0.0636,"Linear (4-5 rows, 40 m)",4,0.277108430862427,1.08838880062103,14.3239297866821,5.30255508422852,16,0.0634832742313544,0.0174701822300752,7.28198369344075,368,32,0.395663797855377,80.2241490681966,2.94750841458639,0.319492697715759,0.989045143127441,17.5732947774803,22.2833333333333,9.45833333333333,12.8797388076782,2430.902932,38221.7442138365,60,943.396226415094,5.24221743963412,0.660397264109866,6,"CB0514"
"316",316,"111.1","MDD","MDD02","CSIRO","SA DENR","111","1",2009,-35.3757,139.7957,1990,19,"TS","Planting",NA,0.3033,"Linear (2-3 rows?, 10 m)",1,0.286253780126572,1.50725162029266,21.4829305013021,10.8997888565063,18,0.0669797360897064,0.0152176357805729,7.72801764806112,379,33,0.405928403139114,74.9455540974935,3.35814460118612,1.14486694335938,0.968088507652283,17.5737677340433,22.25,9.45,8.13842105865479,14361.123339,47349.5659050445,60,197.82393669634,9.23230821952692,0.680985259194825,10,"CB0574"
"317",317,"112.1","FLB","FLB02","CSIRO","SA DENR","112","1",2009,-34.5431,139.1336,1988,21,"TS","Planting",NA,0.0392,"Linear (5? rows, 30 m)",3,0.435917735099792,2.71680569648743,19.1501337687174,15.5652465820312,394,0.0760578451057275,0.0184892235944668,5.35550737380981,551,43,0.583121418952942,70.9687347412109,9.3186092376709,1.56764435768127,0.818262875080109,17.974315514357,20.4,8.03333333333333,7.76504278182983,5667.972651,144591.139056122,36,918.367346938776,4.99694371883651,0.0551990969938954,5,"CB0766"
"318",318,"113.1","MDD","MDD02","CSIRO","SA DENR","113","1",2009,-35.4768,139.9703,1997,12,"TS","Planting",NA,0.0625,"Block",5,0.292445778846741,1.34561693668365,17.6623497009277,1.42377471923828,21,0.0642706255118052,0.0154753274594744,7.33193111419678,391,34,0.418965488672256,77.6155192057292,3.25580437978109,0.143555581569672,1.07514584064484,17.5907969028199,22.3166666666667,9.35,11.2816467285156,3641.820494,58269.127904,60,960,7.35964925031437,0.906534890470052,9,"CB0862"
"319",319,"114.1","MDD","MDD02","CSIRO","SA DENR","114","1",2009,-35.4767,139.9716,1999,10,"TS","Planting",NA,0.0647,"Block",5,0.292445778846741,1.31146907806396,17.7405923207601,1.497314453125,20,0.0653314180672169,0.015794671451052,7.28459119796753,391,34,0.419167429208755,78.4828491210938,3.15570775667826,0.144865244626999,1.05438435077667,17.5907969028199,22.3166666666667,9.35,11.8260583877563,2490.831967,38498.1756877898,60,927.357032457496,7.00238952821829,0.773924275960887,8,"CB0922"
"320",320,"115.1","MDD","MDD02","CSIRO","SA DENR","115","1",2009,-35.5086,140.1915,1994,15,"DS","Planting",NA,0.0364,"Linear (3-4 rows, 18 m)",2,0.309576839208603,0.92471843957901,13.3466971715291,13.1990814208984,91,0.0637492972115676,0.0133144125963251,6.56019894282023,417,34,0.447065353393555,82.2647883097331,3.18248414993286,1.37860131263733,0.954347372055054,17.5645855377243,22.1666666666667,8.825,8.91213321685791,1165.779012,32026.8959340659,36,989.010989010989,8.4493251846193,0.652764151901342,9,"CB0982"
"321",321,"116.1","MDD","MDD02","CSIRO","SA DENR","116","1",2009,-35.5113,140.1782,1994,15,"DS","Planting",NA,0.0932,"Block",5,0.309576839208603,1.23072636127472,15.4364865620931,10.8288803100586,89,0.0582869350910187,0.0130805596709251,6.42264890670776,417,34,0.457941830158234,78.0298334757487,3.25391896565755,2.61502265930176,0.932400763034821,17.5600516578881,22.175,8.84166666666667,7.35699892044067,1583.661803,16992.0794313305,60,643.776824034335,8.5611336029474,0.890674180510626,10,"CB1017"
"322",322,"117.1","MDD","MDD02","CSIRO","SA DENR","117","1",2009,-35.4818,139.8562,1985,24,"TS","Planting",NA,0.1518,"Linear (2-3 rows, 12 m)",2,0.301286906003952,1.41109919548035,19.3861255645752,0.896232604980469,15,0.0662626413007577,0.016829031209151,7.43876059850057,398,34,0.429612010717392,77.4453150431315,3.50093793869019,0.113270111382008,1.02223539352417,17.4867720524434,22.1666666666667,9.43333333333333,10.9452095031738,15143.533784,99759.7745981555,36,237.154150197628,2.97619047619048,0.152455338986496,3,"CB1113"
"323",323,"118.1","KAN","KAN02","CSIRO","SA DENR","118","1",2009,-34.9629,138.9993,1991,18,"TS","Planting",NA,0.1023,"Block",5,0.485044449567795,2.19022846221924,19.1331462860107,42.3811645507812,335,0.109471303721269,0.0216192994266748,5.18525648117065,600,45,0.695402264595032,69.9662755330404,8.90424728393555,3.45525598526001,0.852089047431946,17.5048869340955,20.2833333333333,8.2,9.66851902008057,7561.79262,73917.8164222874,60,586.510263929619,4.98809329115491,0.707551547038011,6,"CB1460"
"324",324,"119.1","KAN","KAN02","CSIRO","SA DENR","119","1",2009,-34.964,139.0779,1997,12,"DS","Planting",NA,0.0484,"Block",5,0.390438258647919,1.89476406574249,21.3206125895182,43.7920837402344,287,0.107851756115754,0.0199823540945848,5.28714386622111,490,41,0.580876767635345,68.564219156901,8.88305823008219,7.67834663391113,0.763164103031158,16.9300463092127,20.7166666666667,8.45,7.126633644104,2724.958034,56300.7858264463,60,1239.6694214876,6.45101772623408,0.638032903324508,7,"CB1556"
"325",325,"120.1","MDD","MDD02","CSIRO","SA DENR","120","1",2009,-35.1478,139.3138,1991,18,"TS","Planting",NA,0.122,"Block",5,0.266258597373962,3.56050586700439,23.0090141296387,24.9573154449463,10,0.110135182738304,0.0333748683333397,6.67821836471558,348,27,0.361717343330383,62.2444661458333,7.44030570983887,3.38135933876038,0.926749110221863,17.0373597146998,22.2583333333333,9.84166666666667,8.81656455993652,8070.976988,66155.5490819672,60,491.803278688525,6.32286566335327,0.92167480243571,8,"CB1616"
